,Unnamed: 0,LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
0,0,9547507704,05/01/2020,464,PPP,"SUMTER COATINGS, INC.",2410 Highway 15 South,Sumter,,29150-9662,12/18/2020,Paid in Full,24,100,769358.78,769358.78,0.0,,19248,Synovus Bank,1148 Broadway,COLUMBUS,GA,31901-2429,U,N,N,Existing or more than 2 years old,Sumter,SUMTER,SC,29150-9662,SC-05,62.0,325510.0,Unanswered,Unknown/NotStated,,769358.78,,,,,,Corporation,19248,Synovus Bank,COLUMBUS,GA,Unanswered,Unanswered,,773553.37,11/20/2020
1,1,9777677704,05/01/2020,464,PPP,"PLEASANT PLACES, INC.",7684 Southrail Road,North Charleston,,29420-9000,09/28/2021,Paid in Full,24,100,736927.79,736927.79,0.0,,19248,Synovus Bank,1148 Broadway,COLUMBUS,GA,31901-2429,U,Y,Y,Existing or more than 2 years old,North Charleston,CHARLESTON,SC,29420-9000,SC-06,73.0,561730.0,White,Unknown/NotStated,,736927.79,,,,,,Sole Proprietorship,19248,Synovus Bank,COLUMBUS,GA,Male Owned,Non-Veteran,,746336.24,08/12/2021
2,2,5791407702,05/01/2020,1013,PPP,BOYER CHILDREN'S CLINIC,1850 BOYER AVE E,SEATTLE,,98112-2922,03/17/2021,Paid in Full,24,100,691355.0,691355.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,SEATTLE,KING,WA,98112-2922,WA-07,75.0,,Unanswered,Unknown/NotStated,,691355.0,,,,,,Non-Profit Organization,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,Y,696677.49,02/10/2021
3,3,6223567700,05/01/2020,920,PPP,KIRTLEY CONSTRUCTION INC,1661 MARTIN RANCH RD,SAN BERNARDINO,,92407-1740,10/16/2021,Paid in Full,24,100,499871.0,499871.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,SAN BERNARDINO,SAN BERNARDINO,CA,92407-1740,CA-23,21.0,236115.0,American Indian or Alaska Native,Not Hispanic or Latino,,499871.0,,,,,,Corporation,9551,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,395264.11,09/10/2021
4,4,9662437702,05/01/2020,101,PPP,AERO BOX LLC,,,,,08/17/2021,Paid in Full,24,100,367437.0,367437.0,0.0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,,,,,,25.0,484210.0,Unanswered,Unknown/NotStated,,367437.0,,,,,,,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,370819.35,04/08/2021
5,5,9774337701,05/01/2020,101,PPP,HUDSON EXTRUSIONS INC.,,,,,11/17/2021,Paid in Full,24,100,328840.0,328840.0,0.0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,,,,,,22.0,326199.0,Unanswered,Unknown/NotStated,,328840.0,,,,,,,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,332137.41,05/10/2021
6,6,9794577700,05/01/2020,491,PPP,FRUIT COVE BAPTIST CHURCH OF JACKSONVILLE FL INC,501 State Road 13,Saint Johns,,32259-2832,02/19/2021,Paid in Full,24,100,289765.0,289765.0,0.0,,19248,Synovus Bank,1148 Broadway,COLUMBUS,GA,31901-2429,U,N,N,Existing or more than 2 years old,Saint Johns,SAINT JOHNS,FL,32259-2832,FL-05,89.0,813110.0,Unanswered,Unknown/NotStated,,289765.0,,,,,,Non-Profit Organization,19248,Synovus Bank,COLUMBUS,GA,Unanswered,Unanswered,Y,291741.75,01/07/2021
7,7,9722187702,05/01/2020,101,PPP,MIAMITOWN AUTO PARTS AND RECYCLING INC,,,,,02/24/2021,Paid in Full,24,100,272380.0,272380.0,0.0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,,,,,,19.0,423140.0,Unanswered,Unknown/NotStated,,272380.0,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,269416.44,01/25/2021
8,8,9725917702,05/01/2020,101,PPP,POPPYCOCKS INC,,,,,08/17/2021,Paid in Full,24,100,257088.0,257088.0,0.0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,,,,,,18.0,444220.0,Unanswered,Unknown/NotStated,,257088.0,,,,,,Subchapter S Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,259982.88,06/24/2021
9,9,9666867710,05/01/2020,101,PPP,CHURCH SQUARE PHARMACY INC,,,,,04/21/2021,Paid in Full,24,100,250000.0,250000.0,0.0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,,,,,,17.0,424210.0,Unanswered,Unknown/NotStated,,250000.0,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,252253.42,03/31/2021
10,10,9662697710,05/01/2020,101,PPP,"MILFAST INDUSTRIAL SUPPLY, INC",,,,,11/17/2021,Paid in Full,24,100,174046.0,174046.0,0.0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Existing or more than 2 years old,,,,,,18.0,423840.0,Unanswered,Unknown/NotStated,,174046.0,,,,,,,57328,The Huntington National Bank,COLUMBUS,OH,Female Owned,Non-Veteran,,175643.41,04/06/2021
11,11,9724667708,05/01/2020,101,PPP,FERNANDINA BEACH HOTEL GROUP LLC,,,,,08/17/2021,Paid in Full,24,100,170170.0,170170.0,0.0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,,,,,,12.0,721110.0,Unanswered,Unknown/NotStated,,170170.0,,,,,,Limited  Liability Company(LLC),57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,172263.32,07/29/2021
12,12,9672967701,05/01/2020,101,PPP,OTTAWA PRODUCTS CO INC,,,,,11/17/2021,Paid in Full,24,100,155010.0,155010.0,0.0,,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,N,Unanswered,,,,,,11.0,332510.0,Unanswered,Unknown/NotStated,,155010.0,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Unanswered,Unanswered,,156504.89,04/23/2021
13,13,5502308207,08/08/2020,1084,PPP,"KAKIVIK ASSET MANAGEMENT, LLC",5015 BUSINESS PARK BLVD,ANCHORAGE,AK,99503-7146,07/22/2021,Paid in Full,60,100,9571397.0,9538531.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-7146,AK-,385.0,541990.0,Unanswered,Unknown/NotStated,,9538531.0,,,,,,Limited  Liability Company(LLC),116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,9615884.57,06/11/2021
14,14,6110847106,04/14/2020,1084,PPP,"ARCTIC SLOPE NATIVE ASSOCIATION, LTD.",7000 Uula St,BARROW,AK,99723,08/21/2021,Paid in Full,24,100,7666768.0,7666768.0,0.0,,89628,"National Cooperative Bank, National Association",139 S High St,HILLSBORO,OH,45133-1442,R,N,N,Existing or more than 2 years old,BARROW,NORTH SLOPE,AK,99723-0001,AK-,295.0,813920.0,Unanswered,Unknown/NotStated,,7666768.0,,,,,,Non-Profit Organization,89628,"National Cooperative Bank, National Association",HILLSBORO,OH,Unanswered,Unanswered,Y,7761324.81,07/13/2021
15,15,4539098204,08/06/2020,1084,PPP,CORVUS AIRLINES INC,4700 Old International Airport Rd,Anchorage,AK,99502-1130,,Exemption 4,60,100,7398947.89,7398947.89,0.0,,436276,Idaho First Bank,475 E Deinhard Ln,MCCALL,ID,83638-4800,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99502-1130,AK-,500.0,481111.0,Unanswered,Unknown/NotStated,,7398947.89,,,,,,Corporation,436276,Idaho First Bank,MCCALL,ID,Unanswered,Unanswered,,4891430.37,06/22/2022
16,16,5120868804,04/17/2021,1084,PPP,HOPE COMMUNITY RESOURCES INC.,540 W Intl Airport Rd,Anchorage,AK,99518-1105,10/06/2022,Paid in Full,60,100,7223025.0,7223025.0,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99518-1105,AK-,500.0,624120.0,Unanswered,Unknown/NotStated,,7223025.0,,,,,,501(c)3 – Non Profit,3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,Y,7321970.55,09/13/2022
17,17,6650277102,04/14/2020,1084,PPP,SOUTH PENINSULA HOSPITAL INC,4300 BARTLETT STREET,HOMER,AK,99603,06/09/2021,Paid in Full,24,100,6528631.4,6528631.4,0.0,,3386,First National Bank Alaska,101 W 36th Ave,ANCHORAGE,AK,99503-5904,R,Y,N,Existing or more than 2 years old,HOMER,KENAI PENINSULA,AK,99603-0001,AK-,439.0,622110.0,Unanswered,Unknown/NotStated,,5037890.65,,,,1490740.75,,Corporation,3386,First National Bank Alaska,ANCHORAGE,AK,Unanswered,Unanswered,,6598389.38,05/18/2021
18,18,6732787302,04/30/2020,1084,PPP,"TYONEK GLOBAL SERVICES, LLC",1689 C ST,ANCHORAGE,AK,99501,,Exemption 4,66,100,6422316.0,6422316.0,0.0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-5115,AK-,478.0,611420.0,Unanswered,Unknown/NotStated,,6422316.0,,,,,,Limited  Liability Company(LLC),760,First Source Federal Credit Union,BIRMINGHAM,AL,Unanswered,Unanswered,,4353656.88,07/14/2022
19,19,6735557309,04/30/2020,1084,PPP,"TYONEK WORLDWIDE SERVICES, INC.",1689 C ST,ANCHORAGE,AK,99501,,Exemption 4,60,100,6412487.0,6412487.0,0.0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-5115,AK-,42.0,488190.0,Unanswered,Unknown/NotStated,,6412487.0,,,,,,Subchapter S Corporation,760,First Source Federal Credit Union,BIRMINGHAM,AL,Unanswered,Unanswered,,6226308.99,10/21/2022
20,20,3323817108,04/11/2020,1084,PPP,"COPPER RIVER SEAFOODS, INC.",1118 5TH AVE,ANCHORAGE,AK,99501-2759,08/13/2021,Paid in Full,24,100,3009400.0,6382400.0,0.0,,119918,East West Bank,"135 N Los Robles Ave, 7th Fl",PASADENA,CA,91101-4525,U,N,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-2759,AK-,303.0,311710.0,Unanswered,Unknown/NotStated,,6382400.0,,,,,,Corporation,119918,East West Bank,PASADENA,CA,Male Owned,Non-Veteran,,6461470.84,07/07/2021
21,21,1570017908,06/10/2020,1084,PPP,MATANUSKA TELEPHONE ASSOCIATION,1740 S. CHUGACH ST,PALMER,AK,99645-6732,07/14/2021,Paid in Full,60,100,5928882.0,5928882.0,0.0,,194499,CoBank ACB,6340 S Fiddlers Green Cir #1908,Greenwood Village,CO,80111,R,Y,N,Existing or more than 2 years old,PALMER,MATANUSKA SUSITNA,AK,99645-6732,AK-,267.0,517311.0,Unanswered,Unknown/NotStated,,5928882.0,,,,,,Cooperative,194499,CoBank ACB,Greenwood Village,CO,Unanswered,Unanswered,,5987841.44,06/10/2021
22,22,3569947101,04/11/2020,1084,PPP,"I. C. E. SERVICES, INC",2606 C Street,ANCHORAGE,AK,99503-2618,08/20/2021,Paid in Full,24,100,5286350.0,5682490.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,N,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99503-2618,AK-,367.0,722310.0,Unanswered,Unknown/NotStated,,5682490.0,,,,,,Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,5751925.36,07/22/2021
23,23,7234997101,04/14/2020,1084,PPP,"TATITLEK TECHNOLOGIES, INC.",561 E. 36th Avenue,ANCHORAGE,AK,99503-4137,10/21/2020,Paid in Full,24,100,5157628.0,5157628.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99503-4137,AK-,361.0,518210.0,Unanswered,Unknown/NotStated,,5157628.0,,,,,,Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,,
